Concept,definition,uni_lemma,Pronunciation,Num_Parts,MN_Toddler_Access,MN_Toddler_Access_No_Tax,Phon_1st,SUBTLEX_PM,LN_SUBTLEX,Length_Letters,Length_Phonemes,Length_Syllables,Bigram,Trigram,ColtheartN,Num_Feats_Tax,Num_Feats_No_Tax,Num_Disting_Feats_No_Tax,Disting_Feats_Percent_No_Tax,Mean_Distinct_No_Tax,Mean_CV_No_Tax,Density_No_Tax,Num_Corred_Pairs_No_Tax,Percent_Corred_Pairs_No_Tax,Num_Func,Num_Vis_Mot,Num_VisFandS,Num_Vis_Col,Num_Sound,Num_Taste,Num_Smell,Num_Tact,Num_Percep,Num_Ency,Num_Tax
babysitter,babysitter,babysitter,[beI][bI][sI][t@r*],43,4.33,4.28,b,77.34,4.35,10,9,4,194.48,NA,0,14,10,9,90,0.817,0.833,0,0,0,0,2,0,0,0,0,0,0,2,8,4
backyard,backyard,yard,[b&][kjA:d],44,4.58,4.58,b,145.89,4.98,8,6,2,174.19,45.24,1,18,18,8,44,0.502,0.502,824.54,21,14,4,0,6,0,0,0,0,0,6,8,0
ball,ball,ball,[bO:l],58,5.07,5,b,3136.6,8.05,4,3,1,3261.22,442.52,18,17,11,5,45,0.498,0.541,83.1,3,5,5,2,2,1,0,0,0,0,5,1,6
balloon,balloon,balloon,[b@][lu:n],30,4.31,4.31,b,260.68,5.56,7,5,2,590.62,79.79,0,18,18,10,56,0.515,0.512,25.05,1,1,2,2,4,2,2,0,0,1,11,5,0
banana,banana,banana,[b@][nA:][n@],30,5.05,5,b,245.15,5.5,6,6,3,440.39,29.34,0,14,13,3,23,0.252,0.267,144.87,5,6,3,0,3,2,0,1,0,1,7,3,1
basement,basement,basement,[beIs][m@nt],30,3.91,3.91,b,376.75,5.93,8,7,2,520.65,240.2,1,16,16,9,56,0.622,0.607,202.7,6,5,1,0,7,0,0,0,1,2,10,5,0
basket,basket,basket,[bA:][skIt],30,3.83,3.83,b,144.74,4.97,6,6,2,933.52,108.46,2,9,9,6,67,0.693,0.698,0,0,0,4,0,3,0,0,0,0,0,3,2,0
bat_(baseball),bat,bat,[b&t],30,4.27,4.27,b,202.71,5.31,3,3,1,498.04,NA,22,8,8,4,50,0.476,0.443,0,0,0,4,0,3,0,0,0,0,1,4,0,0
bathroom,bathroom,bathroom,[bA:T][rUm],45,5.11,5.11,b,980.01,6.89,8,6,2,289.17,59.24,0,14,14,9,64,0.651,0.653,237.62,5,5,6,0,7,0,0,0,0,0,7,1,0
bathtub,bathtub,bathtub,[bA:T][tVb],30,4.61,4.61,b,106.47,4.67,7,6,2,428.51,22.23,0,16,16,5,31,0.369,0.348,549.68,11,9,7,0,3,1,0,0,0,1,5,4,0
beach,beach,beach,[bi:tS],61,4.48,4.48,b,919.4,6.82,5,3,1,2909.52,235.67,7,14,14,10,71,0.718,0.72,161.61,2,2,3,0,3,0,0,0,0,0,3,8,0
beads,beads,beads,[bi:dz],101,4.24,4.24,b,75.5,4.32,5,4,1,1962.29,194.57,11,15,15,5,33,0.41,0.395,67.12,3,3,5,0,7,2,0,0,0,0,9,1,0
beans,beans,beans,[bi:nz],30,3.99,4.19,b,347.13,5.85,5,4,1,1913.71,331.6,9,15,12,2,17,0.245,0.225,175.47,7,11,3,0,2,3,0,0,0,0,5,4,3
bear,bear,bear,[bE@r*],30,4.78,4.86,b,839.26,6.73,4,3,1,3039.46,757.07,18,19,17,5,29,0.225,0.24,592.69,20,15,1,1,7,3,0,0,0,0,11,5,2
bed,bed,bed,[bEd],30,4.33,4.3,b,3600.5,8.19,3,3,1,483.41,NA,14,17,16,9,56,0.546,0.563,383.1,9,8,2,0,5,0,0,0,0,3,8,6,1
bedroom,bedroom,bedroom,[bEd][rUm],30,4.81,4.74,b,431.69,6.07,7,6,2,647.21,60.94,0,10,9,4,44,0.581,0.666,567.33,6,17,2,0,6,0,0,0,0,0,6,1,1
bee,bee,bee,[bi:],38,4.72,4.68,b,237.99,5.47,3,2,1,781.89,NA,13,14,13,8,62,0.605,0.627,143.98,1,1,0,3,3,2,1,0,0,0,9,4,1
belly_button,belly button,belly button,[bE][lI][bV][t],61,3.97,4.02,b,6.33,1.85,11,8,4,NA,22.33,0,9,6,5,83,0.754,0.715,0,0,0,0,0,5,0,0,0,0,0,5,1,3
belt,belt,belt,[bElt],30,3.63,3.53,b,406.21,6.01,4,4,1,2427.84,248.32,10,13,11,6,55,0.579,0.594,111.19,5,9,4,0,6,0,0,0,0,0,6,1,2
bench,bench,bench,[bEntS],30,4.62,4.62,b,122.7,4.81,5,4,1,1893.63,86.74,5,11,11,3,27,0.28,0.292,74.34,3,5,2,0,5,1,0,0,0,1,7,2,0
bib,bib,bib,[bIb],43,4.47,4.47,b,8.45,2.13,3,3,1,296.87,NA,11,11,11,4,36,0.456,0.421,120.34,5,9,9,0,2,0,0,0,0,0,2,0,0
bike,bicycle,bicycle,[baIk],63,4.54,4.52,b,712.79,6.57,4,3,1,2070.95,1018.99,8,14,13,6,46,0.358,0.379,744.72,13,17,4,0,8,1,0,0,0,0,9,0,1
bird,bird,bird,[b3:d],39,5.14,5.07,b,1084.23,6.99,4,3,1,587.2,42.74,4,14,13,5,38,0.424,0.419,823.69,15,19,0,2,4,1,2,0,0,0,9,4,1
blanket,blanket,blanket,[bl&N][kIt],40,4.56,4.41,b,213.03,5.36,7,7,2,416.72,74.83,0,11,10,4,40,0.318,0.321,57.09,2,4,3,0,3,1,0,0,0,1,5,2,1
block_(toy),block,block,[blOk],45,5.21,5.12,b,666.01,6.5,5,4,1,885.18,183.17,4,13,12,3,25,0.267,0.273,86.7,2,3,4,0,5,2,0,0,0,1,8,0,1
boat,boat,boat,[b@Ut],40,3.89,3.82,b,2105.4,7.65,4,3,1,5962.28,89.92,9,14,13,9,69,0.677,0.681,89.7,2,3,5,1,5,0,0,0,0,0,6,2,1
book,book,book,[bUk],61,4.04,4.3,b,5205.92,8.56,4,3,1,2605.5,882.98,12,16,14,13,93,0.8,0.812,0,0,0,2,0,8,0,0,0,0,0,8,4,2
boots,boots,boots,[bu:ts],30,4.69,4.6,b,618.55,6.43,5,4,1,718.72,147.49,11,21,19,3,16,0.276,0.253,1781.54,40,23,8,0,7,2,0,0,0,0,9,2,2
bottle,bottle,bottle,[bO][t],30,4.05,4.08,b,1022.82,6.93,6,4,2,1977.1,752.72,1,15,14,4,29,0.415,0.437,1243.22,27,30,5,0,5,2,0,0,0,0,7,2,1
bowl,bowl,bowl,[b@Ul],30,4.64,4.64,b,322.79,5.78,4,3,1,1122.63,34.78,7,14,14,6,43,0.45,0.44,247.04,9,10,7,0,4,1,0,0,0,0,5,2,0
box,box,box,[bOks],30,4.31,4.37,b,1545.86,7.34,3,4,1,236.15,NA,11,14,13,5,38,0.43,0.444,97.98,3,4,2,0,10,1,0,0,0,0,11,0,1
boy,boy,boy,[bOI],39,4.78,4.45,b,8165.49,9.01,3,2,1,324.75,NA,14,10,8,3,38,0.394,0.384,32.43,2,7,0,1,3,0,0,0,0,0,4,4,2
bread,bread,bread,[brEd],30,4.2,4.11,b,494.14,6.2,5,4,1,1280.06,514.39,6,16,14,8,57,0.471,0.476,15.81,1,1,5,0,1,2,0,0,0,1,4,5,2
broom,broom,broom,[bru:m],30,4.04,4.04,b,74.03,4.3,5,4,1,867.4,108.06,4,13,13,7,54,0.508,0.483,50.24,2,3,5,0,6,0,0,0,0,0,6,2,0
brother,brother,brother,[brV][D@r*],43,4.99,4.78,b,3240.65,8.08,7,6,2,2011.62,997.15,1,9,3,2,67,0.381,0.479,0,0,0,0,0,0,0,0,0,0,0,0,3,6
brush,brush,brush (object),[brVS],30,4.27,4.27,b,95.98,4.56,5,4,1,638.39,55.64,3,12,12,6,50,0.484,0.47,106.76,5,8,6,0,4,0,0,0,0,0,4,2,0
bubble,bubbles,bubbles,[bV][b],45,4.6,4.6,b,164.23,5.1,6,4,2,1098.37,96.3,4,11,11,6,55,0.505,0.492,47.78,1,2,2,1,2,0,1,0,0,0,4,5,0
bucket,bucket,bucket,[bV][kIt],30,4.51,4.51,b,97.34,4.58,6,5,2,885.63,225.09,1,7,7,1,14,0.232,0.248,126.3,6,29,3,0,4,0,0,0,0,0,4,0,0
bug,bug,bug,[bVg],45,5.11,5.09,b,286.23,5.66,3,3,1,2837.49,NA,19,10,9,3,33,0.355,0.359,232.4,4,11,0,2,4,0,0,0,0,0,6,3,1
bunny,bunny,bunny,[bV][nI],75,5.53,5.72,b,397.74,5.99,5,4,2,261.33,81.13,5,18,14,4,29,0.316,0.311,300.66,9,10,0,2,5,2,0,0,0,3,12,2,4
bus,bus,bus,[bVs],30,4.57,4.55,b,1431.86,7.27,3,3,1,2842.29,NA,7,17,16,6,38,0.435,0.451,719.76,16,13,4,0,8,1,1,0,0,0,10,2,1
butter,butter,butter,[bV][t@r*],42,3.89,3.94,b,450.23,6.11,6,5,2,2667.36,670.98,10,19,18,7,39,0.428,0.398,288.31,10,7,6,0,1,1,0,3,0,1,6,6,1
butterfly,butterfly,butterfly,[bV][t@][flaI],30,4.31,4.4,b,126.69,4.84,9,7,3,493.13,43.13,0,15,13,6,46,0.461,0.459,398.56,10,13,0,2,3,2,0,0,0,0,7,6,2
buttocks,buttocks/bottom*,butt,[bV][t@ks],106,4.91,5.02,b,357.64,5.88,8,6,2,145.87,20.41,0,8,5,0,0,0.129,0.109,0,0,0,1,0,4,0,0,0,0,0,4,0,3
button,button,button,[bV][t],73,4.66,4.66,b,438.95,6.08,6,4,2,1055.73,79.63,2,12,12,6,50,0.355,0.343,22.85,1,2,1,0,7,1,0,0,0,0,8,3,0
cake,cake,cake,[keIk],30,4.74,4.64,k,932.94,6.84,4,3,1,2599.49,919.33,18,17,14,7,50,0.512,0.511,331.82,8,9,3,0,0,0,0,3,0,0,3,8,3
camera,camera,camera,[k&][m@][r@],45,3.08,3.15,k,976.43,6.88,6,6,3,769.75,44.32,0,12,11,10,91,0.795,0.785,0,0,0,2,0,4,0,0,0,0,0,4,5,1
camping,camping,camping,[k&m][pIN],121,3.85,3.85,k,50.34,3.92,7,6,2,3203.14,1759.83,3,10,10,9,90,0.805,0.797,0,0,0,0,0,0,0,0,0,0,0,0,10,0
can,can (object),can (object),[k&n],43,3.84,3.86,k,331.28,5.8,3,3,1,2908.21,NA,16,11,10,6,60,0.664,0.68,13.29,1,2,5,0,4,0,0,0,0,0,4,1,1
candy,candy,candy,[k&n][dI],56,5.42,5.42,k,560.18,6.33,5,5,2,663.83,141.79,7,14,14,2,14,0.191,0.197,775.74,18,20,2,0,0,1,0,5,0,3,9,3,0
car,car,car,[kA:r*],46,4.32,4.26,k,12637.36,9.44,3,3,1,1854.17,NA,18,17,15,3,20,0.304,0.304,961.59,23,22,1,1,7,1,0,0,0,0,9,5,2
carrot,carrots,carrots,[k&][r@t],30,3.94,3.95,k,150.88,5.02,6,5,2,768.79,117.43,1,18,16,9,56,0.561,0.581,143.13,6,5,4,0,4,2,0,0,0,1,7,5,2
cat,cat,cat,[k&t],30,4.7,4.79,k,1861.57,7.53,3,3,1,1520.04,NA,22,20,15,6,40,0.348,0.354,844.84,20,19,0,2,8,0,2,0,0,0,12,3,5
cereal,cereal,cereal,[sI@][rI@l],39,4.6,4.42,s,133.22,4.89,6,5,2,875.72,129.55,0,18,16,7,44,0.387,0.397,197.95,4,3,1,0,1,0,0,2,0,2,5,10,2
chair,chair,chair,[tSE@r*],30,4.3,4.27,tS,1008.08,6.92,5,3,1,1594.15,158.01,2,16,15,7,47,0.435,0.449,656.43,14,13,3,0,7,0,0,0,0,2,9,3,1
chalk,chalk,chalk,[tSO:k],44,4.57,4.57,tS,47.09,3.85,5,3,1,767.16,162.7,0,12,12,6,50,0.584,0.574,256.12,4,6,6,0,2,2,0,0,0,0,4,2,0
cheek,cheek,cheek,[tSi:k],58,4.41,4.41,tS,125.63,4.83,5,3,1,2829.91,140.17,3,10,10,5,50,0.513,0.524,18.38,1,2,0,3,3,2,0,0,0,1,9,1,0
cheerios,cheerios,cheerios,[tSI][rI][@Us],43,5.07,4.84,tS,4.78,1.56,8,5,3,786.92,103.94,0,14,11,4,36,0.269,0.244,114.21,4,7,2,0,3,0,0,1,0,0,4,5,3
cheese,cheese,cheese,[tSi:z],30,4.81,5.05,tS,817.38,6.71,6,3,1,726.99,67.33,0,19,15,5,33,0.367,0.355,187.93,6,6,5,0,0,3,0,2,1,2,8,2,4
chicken,chicken (animal),chicken (animal),[tSI][kIn],30,4.77,4.63,tS,1472.11,7.29,7,5,2,583.27,134.97,1,20,18,5,28,0.277,0.254,1245.78,27,18,2,4,4,0,2,0,0,0,10,6,2
child,child,child,[tSaIld],47,4.86,4.61,tS,5418.35,8.6,5,4,1,4295.23,727.55,1,15,9,5,56,0.63,0.64,98.8,4,11,0,1,1,0,0,0,0,0,2,7,6
chin,chin,chin,[tSIn],43,4.24,4.24,tS,159.77,5.07,4,3,1,1928.86,71.4,6,11,11,5,45,0.524,0.538,90.12,4,7,0,0,9,0,0,0,0,0,9,2,0
chocolate,chocolate,chocolate,[tSO][k@][l@t],43,4.96,5.1,tS,421.03,6.04,9,7,3,229.44,70.44,0,12,7,1,14,0.228,0.215,194.51,4,19,0,1,0,1,0,3,0,0,5,2,5
church,church*,church,[tS3:tS],56,3.33,3.16,tS,1738.97,7.46,6,3,1,639.45,196.06,0,13,11,11,100,1,1,0,0,0,2,0,2,0,0,0,0,0,2,7,2
circus,circus,circus,[s3:][k@s],43,3.93,3.96,s,282.5,5.64,6,5,2,215.45,39.11,0,15,14,11,79,0.809,0.813,0,0,0,1,0,2,0,0,0,0,0,2,11,1
clock,clock,clock,[klOk],30,3.95,4.07,k,478.36,6.17,5,4,1,973.91,213.38,7,14,12,8,67,0.571,0.617,166.43,3,5,3,0,5,0,1,0,0,0,6,3,2
closet,closet,closet,[klO][zIt],30,4.36,4.45,k,412.86,6.02,6,6,2,777.48,169.04,3,13,12,8,67,0.589,0.616,170.54,3,5,3,0,6,0,0,0,0,0,6,3,1
cloud,cloud,cloud,[klaUd],56,4.86,4.86,k,202.32,5.31,5,4,1,1419.74,165.81,2,9,9,3,33,0.392,0.426,162.95,4,11,1,0,2,3,0,0,0,1,6,2,0
clown,clown,clown,[klaUn],75,4.65,4.65,k,329.36,5.8,5,4,1,1022.23,315.65,3,14,14,11,79,0.727,0.744,31.69,2,2,2,0,7,1,0,0,0,0,8,4,0
coat,coat,coat,[k@Ut],30,4.49,4.42,k,972.19,6.88,4,3,1,5908.93,109.3,9,19,18,4,22,0.277,0.248,1400.35,32,21,4,0,11,1,0,0,0,1,13,1,1
coffee,coffee,coffee,[kO][fI],43,3.97,4.11,k,2703.82,7.9,6,4,2,542.78,113.41,1,17,14,5,36,0.394,0.404,498.68,9,10,3,0,1,2,0,1,1,0,5,6,3
coke,coke,coke,[k@Uk],99,4.44,4.26,k,260.55,5.56,4,3,1,1886.31,37.45,12,12,10,2,20,0.225,0.194,323.26,9,20,0,0,0,2,0,1,0,0,3,7,2
comb,comb,comb (object),[k@Um],30,4.48,4.48,k,43.25,3.77,4,3,1,1700.31,468.74,5,12,12,5,42,0.46,0.464,22.85,1,2,4,0,5,1,0,0,0,0,6,2,0
cookie,cookie,cookie,[kU][kI],43,5.14,4.91,k,488.56,6.19,6,4,2,703.76,156.03,3,13,9,3,33,0.355,0.365,204.54,6,17,1,0,3,0,0,3,0,0,6,2,4
corn,corn,corn,[kO:n],30,4.19,4.1,k,213.22,5.36,4,3,1,2298.73,121.11,10,13,12,8,67,0.569,0.606,16.41,1,2,3,0,5,1,0,1,0,0,7,2,1
couch,couch,couch,[kaUtS],30,4.42,4.4,k,516.58,6.25,5,3,1,3910.02,776.27,6,20,19,5,26,0.329,0.314,1261.48,26,15,6,0,7,0,0,0,0,3,10,3,1
country,country,country,[kVn][trI],73,3.27,3.19,k,1870.74,7.53,7,6,2,1200.66,526.21,0,10,8,6,75,0.67,0.64,0,0,0,1,0,2,0,0,0,0,0,2,5,2
cow,cow,cow,[kaU],30,4.66,4.71,k,828.66,6.72,3,2,1,1661.13,NA,23,22,20,8,40,0.402,0.406,577.55,17,9,3,4,5,3,1,0,1,0,14,3,2
cowboy,cowboy,cowboy,[kaU][bOI],60,4.18,4.03,k,330.51,5.8,6,4,2,466.15,6.3,0,13,12,12,100,0.875,0.888,0,0,0,1,1,5,0,0,0,0,0,6,5,1
cracker,cracker,cracker,[kr&][k@r*],44,5.14,4.95,k,144.1,4.97,7,6,2,1045.35,92.78,2,12,10,2,20,0.255,0.251,89.83,2,4,2,0,3,0,0,2,0,1,6,2,2
crayon,crayon,crayon,[kreI][@n],39,4.88,4.88,k,26.23,3.27,6,5,2,535.33,22.19,0,12,12,6,50,0.501,0.519,141.64,3,5,6,0,1,1,0,0,0,0,2,4,0
crib,crib,crib,[krIb],61,4.92,4.82,k,54.94,4.01,4,4,1,75.61,1.12,1,8,7,2,29,0.285,0.266,128.39,3,14,3,0,3,0,0,0,0,0,3,1,1
cup,cup,cup,[kVp],30,4.02,3.95,k,1300.71,7.17,3,3,1,155.45,NA,9,21,19,7,37,0.4,0.412,864.33,22,13,6,0,8,1,0,0,0,0,9,4,2
daddy,daddy*,daddy,[d&][dI],54,5.25,5.21,d,10433.53,9.25,5,4,2,238.87,35.9,3,13,8,4,50,0.549,0.502,76.72,1,4,0,0,0,0,0,0,0,0,0,8,5
deer,deer,deer,[dI@r*],30,4.54,4.72,d,191.11,5.25,4,3,1,2800.84,113.27,10,20,16,5,31,0.285,0.272,700.83,17,14,2,2,7,2,0,0,0,0,11,3,4
diaper,diaper,diaper,[daI][@][p@r*],64,4.53,4.53,d,97.26,4.58,6,6,3,1594.17,71.25,2,10,10,4,40,0.444,0.511,195.23,5,11,3,0,3,1,0,0,1,0,5,2,0
dish,dish,dish,[dIS],30,4.57,4.57,d,236.96,5.47,4,3,1,595.11,176.78,5,10,10,0,0,0.116,0.124,549.99,16,36,3,0,4,1,0,0,0,0,5,2,0
doctor,doctor,doctor,[dOk][t@r*],96,3.74,3.75,d,3570.86,8.18,6,6,2,464.26,201.38,0,11,10,9,90,0.875,0.85,0,0,0,1,0,1,0,0,0,0,0,1,8,1
dog,dog,dog,[dOg],30,4.88,5.09,d,4775.16,8.47,3,3,1,134.3,NA,14,18,14,6,43,0.445,0.451,447.86,10,11,1,2,6,0,1,0,0,1,10,3,4
doll,doll,doll,[dOl],40,5.08,4.84,d,554.04,6.32,4,3,1,3312.44,43.66,11,13,10,5,50,0.48,0.483,61.64,1,2,4,0,4,0,0,0,0,0,4,2,3
donkey,donkey,donkey,[dON][kI],30,5.17,5.34,d,91.97,4.52,6,5,2,710.05,39.01,1,14,12,2,17,0.254,0.243,523.31,13,20,1,0,5,2,1,0,0,1,9,2,2
donut,donut,donut,[dON][Vt],64,4.63,4.55,d,75.08,4.32,5,5,2,990.18,3.89,0,16,14,5,36,0.358,0.342,383.96,11,12,1,0,5,0,0,3,0,0,8,5,2
door,door,door,[dO:r*],30,4.11,4.11,d,4609.67,8.44,4,3,1,2587.59,446.65,5,13,13,8,62,0.678,0.69,67.47,3,4,6,0,7,0,0,0,0,0,7,0,0
downtown,downtown,downtown,[daUn][taUn],84,3.24,3.3,d,NA,NA,8,6,2,151.4,18.62,0,11,10,10,100,0.85,0.821,0,0,0,1,0,2,0,0,0,0,0,2,7,1
drawer_(the_furniture),drawer,drawer,[drO:][@r*],122,4.2,4.2,d,150.15,5.01,6,5,2,1605.16,83.21,1,8,8,3,38,0.402,0.355,15.44,1,4,5,0,2,0,0,0,0,0,2,1,0
dress,dress (object),dress (object),[drEs],74,4.03,3.85,d,1192.06,7.08,5,4,1,1317.71,254.38,5,10,9,4,44,0.52,0.549,102.81,4,11,2,0,2,1,0,0,0,0,3,4,1
drink,drink (beverage),drink (beverage),[drINk],47,4.64,4.41,d,2713.7,7.91,5,5,1,2317.86,662.96,3,16,10,5,50,0.434,0.45,441.54,7,16,3,0,2,0,0,0,0,1,3,4,6
dryer,dryer,dryer,[draI][@r*],44,3.78,3.77,d,61.17,4.11,5,5,2,2036.82,11.36,1,12,10,6,60,0.595,0.598,274.07,4,9,2,1,2,0,0,0,0,0,3,5,2
duck,duck,duck,[dVk],30,4.8,4.81,d,646.26,6.47,4,3,1,1488.22,53.91,13,20,17,6,35,0.38,0.376,1373.78,26,19,2,4,6,0,1,0,0,0,11,4,3
ear,ear,ear,[I@r*],43,4.25,4.16,I,924.43,6.83,3,2,1,721.29,NA,11,13,12,9,75,0.743,0.729,17.59,1,2,3,0,7,0,0,0,0,0,7,2,1
egg,egg,egg,[Eg],42,4.46,4.37,E,1263.09,7.14,3,2,1,42.32,NA,1,18,17,7,41,0.496,0.488,84.66,4,3,4,0,3,3,0,0,0,0,6,7,1
elephant,elephant,elephant,[E][lI][f@nt],43,4.64,4.72,E,358.77,5.88,8,7,3,369.51,100.69,0,16,14,5,36,0.43,0.47,616.21,14,15,2,1,6,1,0,0,0,1,9,3,2
eye,eye,eye,[aI],41,4.84,4.84,a,4343.13,8.38,3,1,1,144.25,NA,8,12,12,4,33,0.421,0.414,25.15,1,2,1,0,5,4,0,0,0,0,9,2,0
face,face,face,[feIs],44,5.12,5.12,f,3915.57,8.27,4,3,1,1985.69,765.76,11,14,14,8,57,0.596,0.608,323.73,6,7,2,1,9,0,0,0,0,0,10,2,0
farm,farm,farm,[fA:m],38,4.61,4.61,f,532.05,6.28,4,3,1,1379.71,135.64,6,15,15,13,87,0.785,0.776,0,0,0,3,0,3,0,0,0,0,0,3,9,0
feet,foot,foot,[fi:t],35,4.73,4.68,f,2819.7,7.94,4,3,1,2495.99,520.97,8,14,13,6,46,0.501,0.498,220.26,6,8,2,0,6,0,0,0,1,0,7,4,1
finger,finger,finger,[fIN][g@r*],44,4.06,4.28,f,903.49,6.81,6,6,2,2015.95,341.73,6,12,8,5,62,0.619,0.629,89.2,3,11,2,0,5,0,0,0,0,0,5,1,4
fireman,fireman,firefighter,[faI][@][m@n],75,4.74,4.74,f,76.74,4.34,7,6,3,380.88,14.8,2,14,14,11,79,0.726,0.681,0,0,0,0,0,2,0,0,0,0,0,2,12,0
firetruck,firetruck,firetruck,[faI][@r*][trVk],40,4.9,4.9,f,1.09,0.09,9,8,3,299.13,36.39,0,17,16,9,56,0.504,0.551,185.01,6,5,4,1,3,1,2,0,0,0,7,5,1
fish_(a_food),fish (food),fish (food),[fIS],43,4.15,4.21,f,1043.23,6.95,4,3,1,1015.51,258.18,3,12,11,1,9,0.219,0.193,1002.49,14,25,3,1,2,0,0,1,1,0,5,3,1
fish_(the_animal),fish (animal),fish (animal),[fIS],66,4.48,4.35,f,1130.17,7.03,4,3,1,1015.51,258.18,3,13,12,4,33,0.459,0.528,1410.11,21,32,1,1,3,1,0,0,0,0,5,6,1
flag,flag,flag,[fl&g],39,4.23,4.35,f,312.34,5.74,4,4,1,317.9,82.54,8,14,13,7,54,0.524,0.466,0,0,0,0,1,5,4,0,0,0,0,10,3,1
flower,flower,flower,[flaU][@r*],45,4.32,4.23,f,1648.88,7.41,6,5,2,1711.65,178.83,4,22,19,11,58,0.602,0.605,258.1,9,5,2,0,3,2,0,0,2,0,7,10,3
food,food,food,[fu:d],44,4.2,4.11,f,1541.04,7.34,4,3,1,2363.14,874.74,10,9,8,2,25,0.277,0.283,86.4,3,11,2,0,0,0,0,1,0,0,1,5,1
fork,fork,fork,[fO:k],30,3.67,3.68,f,167.81,5.12,4,3,1,2377.9,597.01,8,14,13,7,54,0.483,0.465,107.31,5,6,1,0,8,0,0,0,0,1,9,3,1
french_fries,french fries,french fries,[frEntS][fralz],40,3.94,4.02,f,NA,NA,11,9,2,NA,529.33,0,16,14,6,43,0.384,0.415,664.44,18,20,3,0,1,0,0,3,0,2,6,5,2
friend,friend,friend,[frEnd],60,4.37,4.41,f,8660.85,9.07,6,5,1,996.38,232.91,0,11,8,6,75,0.662,0.68,0,0,0,1,0,0,0,0,0,0,0,0,7,3
frog,frog,frog,[frOg],30,4.93,5,f,264.14,5.58,4,4,1,2962.21,264.63,3,16,14,8,57,0.473,0.437,178.94,3,3,0,5,3,1,1,0,0,0,10,4,2
game,game,game,[geIm],61,4.23,4.38,g,3285.8,8.1,4,3,1,3175.21,980.51,13,11,7,5,71,0.727,0.732,47.78,1,5,1,0,0,0,0,0,0,0,0,6,4
garage,garage,garage,[g&][rA:dZ],30,4.18,4.18,g,270.66,5.6,6,5,2,611.33,96.15,0,9,9,4,44,0.509,0.531,115.85,3,8,5,0,3,0,0,0,0,0,3,1,0
garbage,garbage,garbage,[gA:][bIdZ],45,4.36,4.39,g,369.33,5.91,7,5,2,610.79,139.39,0,13,11,9,82,0.622,0.623,38.87,1,2,0,3,1,0,0,0,2,0,6,5,2
garden,garden,garden,[gA:][d],63,4.31,4.31,g,464.92,6.14,6,4,2,963.2,267.8,2,14,14,9,64,0.586,0.625,314.4,6,7,5,0,3,0,0,0,0,0,3,6,0
gas_station,gas station,gas station,[g&s][steI][S],61,4.16,4.16,g,NA,NA,10,8,3,968.2,NA,0,12,12,10,83,0.688,0.65,0,0,0,3,0,4,0,0,0,1,0,5,4,0
giraffe,giraffe,giraffe,[dZI][rA:f],30,4.86,4.98,d,31.65,3.45,7,5,2,85.3,6.15,0,14,12,5,42,0.453,0.461,190.01,3,5,0,1,5,3,0,0,0,0,9,3,2
girl,girl,girl,[g3:l],43,5.2,4.99,g,9134.07,9.12,4,3,1,583.8,277.71,3,11,6,4,67,0.632,0.656,0,0,0,0,1,1,0,0,0,0,0,2,4,5
glass,glass,glass,[glA:s],62,4.19,4.19,g,1119.12,7.02,5,4,1,1016.99,323.18,3,11,11,4,36,0.48,0.461,331.39,7,13,3,1,0,3,0,0,0,1,5,3,0
glasses,glasses,glasses,[glA:][sIz],86,3.87,3.87,g,1322.59,7.19,7,6,2,964.57,233.95,2,13,13,7,54,0.504,0.499,93.48,4,5,5,0,5,0,0,0,0,0,5,3,0
gloves,gloves,gloves,[glVvz],30,4.39,4.2,g,400.13,5.99,6,5,1,964.13,117.71,4,14,12,4,33,0.344,0.331,1248.41,21,32,5,0,4,0,0,0,0,0,4,3,2
glue,glue,glue,[glu:],44,4.35,4.67,g,56.54,4.03,4,3,1,183.72,75.7,6,11,9,4,44,0.406,0.415,52.38,1,3,4,0,0,2,0,0,1,1,4,1,2
goose,goose,goose,[gu:s],30,4.98,4.82,g,238.67,5.48,5,3,1,1892.71,512.27,4,15,13,3,23,0.281,0.27,1199.92,20,26,1,1,6,1,1,0,0,0,9,3,2
grandma,grandma*,grandma,[gr&n][mA:],38,5.26,5.19,g,648.54,6.47,7,6,2,406.72,67.48,1,13,11,7,64,0.58,0.579,112.23,3,5,0,2,1,0,0,0,0,0,3,8,2
grandpa,grandpa*,grandpa,[gr&n][pA:],43,5.51,5.29,g,281.03,5.64,7,6,2,402.7,66.14,1,8,6,3,50,0.44,0.464,49.16,2,13,0,0,1,0,0,0,0,0,1,5,2
grape,grapes,grapes,[greIp],43,4.57,4.5,g,172.34,5.15,5,4,1,764.32,129.28,8,17,16,7,44,0.46,0.468,411.39,12,10,5,0,2,3,0,3,0,0,8,3,1
grass,grass,grass,[grA:s],42,4.69,4.64,g,221.39,5.4,5,4,1,1192.25,297.28,7,12,11,5,45,0.435,0.429,106.11,5,9,1,0,2,1,0,0,0,1,4,6,1
green_beans,green beans,green beans,[gri:n][bi:nz],45,4.24,4.28,g,NA,NA,10,8,2,193.03,NA,0,12,10,1,10,0.209,0.198,124.38,5,11,2,0,1,1,0,0,0,0,2,6,2
gum,gum,gum,[gVm],39,4.66,4.63,g,192.21,5.26,3,3,1,100.1,NA,11,12,11,6,55,0.487,0.507,164.69,3,5,1,0,0,1,0,3,0,2,6,4,1
