Concept,definition,uni_lemma,Pronunciation,Num_Parts,MN_Toddler_Access,MN_Toddler_Access_No_Tax,Phon_1st,SUBTLEX_PM,LN_SUBTLEX,Length_Letters,Length_Phonemes,Length_Syllables,Bigram,Trigram,ColtheartN,Num_Feats_Tax,Num_Feats_No_Tax,Num_Disting_Feats_No_Tax,Disting_Feats_Percent_No_Tax,Mean_Distinct_No_Tax,Mean_CV_No_Tax,Density_No_Tax,Num_Corred_Pairs_No_Tax,Percent_Corred_Pairs_No_Tax,Num_Func,Num_Vis_Mot,Num_VisFandS,Num_Vis_Col,Num_Sound,Num_Taste,Num_Smell,Num_Tact,Num_Percep,Num_Ency,Num_Tax
slide,slide (object),slide (object),[slaId],73,5.15,5.14,s,92.91,4.53,5,4,1,313.72,74.09,4,11,10,3,30,0.226,0.205,165.32,5,11,2,1,3,0,0,0,0,1,5,3,1
slippers,slipper,slipper,[slI][p@z],44,5.34,5.28,s,136.33,4.92,8,6,2,370.17,163.1,3,11,10,4,40,0.374,0.354,192.82,4,9,3,0,0,1,0,0,0,3,4,3,1
sneaker,sneaker,sneaker,NA,40,4.06,4.04,s,91.46,4.52,7,6,2,862.05,23.02,2,16,14,6,43,0.46,0.46,645.81,10,11,5,0,5,1,0,0,0,1,7,2,2
snow,snow,snow,[sn@U],65,4.95,4.99,s,488.21,6.19,4,3,1,1152.49,741.86,6,15,14,10,71,0.593,0.587,0,0,0,4,1,3,1,0,0,0,1,6,4,1
snowman,snowman,snowman,[sn@U][m&n],53,5.1,5.11,s,38.01,3.64,7,6,2,243.19,23.46,1,18,17,10,59,0.571,0.568,57.13,1,1,0,1,7,1,0,0,0,1,10,7,1
snowsuit,snowsuit,snowsuit,[sn@U][su:t],74,4.51,4.39,s,1.41,0.34,8,6,2,72.27,4.14,0,11,10,4,40,0.544,0.54,496,11,24,6,0,0,0,0,0,0,0,0,4,1
soap,soap,soap,[s@Up],44,4.6,4.64,s,205.52,5.33,4,3,1,1209.04,24.69,6,12,10,4,40,0.527,0.535,302.39,7,16,4,0,2,0,0,0,2,0,4,2,2
socks,sock,sock,[sOks],39,4.81,4.81,s,488.34,6.19,5,4,1,600.43,90.11,9,11,11,3,27,0.375,0.384,662.92,13,24,4,0,2,2,0,0,0,0,4,3,0
soda/pop,soda/pop,soda,[s@U][d@],65,4.19,4.09,s,618.11,6.43,4,4,2,1126.92,8.89,3,14,11,3,27,0.282,0.295,508.33,14,25,0,0,0,0,0,3,0,0,3,8,3
sofa,sofa,sofa,[s@U][f@],30,4.49,4.47,s,142.43,4.96,4,4,2,1031.53,59.08,3,18,17,6,35,0.381,0.357,1242.76,25,18,5,0,6,0,0,0,0,2,8,4,1
soup,soup,soup,[su:p],72,4.48,4.39,s,361.29,5.89,4,3,1,1770.72,49.8,4,13,10,3,30,0.366,0.374,383.62,8,18,3,0,4,0,0,1,0,0,5,2,3
spaghetti,spaghetti,pasta,[sp@][gE][tI],48,4.59,4.55,s,71.32,4.27,9,7,3,92.4,18.82,0,11,7,3,43,0.443,0.439,0,0,0,1,0,5,0,0,1,0,0,6,0,4
spoon,spoon,spoon,[spu:n],30,4.27,4.3,s,188.03,5.24,5,4,1,567.62,74.23,4,19,18,11,61,0.511,0.51,41.33,2,1,7,0,7,1,0,0,0,0,8,3,1
sprinkler,sprinkler,sprinkler,NA,43,4.44,4.44,s,26.34,3.27,9,8,2,191.8,13.77,1,13,13,8,62,0.484,0.502,61.64,1,1,7,0,2,0,0,0,0,0,2,4,0
squirrel,squirrel,squirrel,[skI][r@l],30,5.11,5.23,s,147.04,4.99,8,6,2,419.05,34.58,0,18,16,5,31,0.283,0.304,585.14,17,14,0,5,6,2,0,0,0,0,13,3,2
stairs,stairs,stairs,[stE@z],55,4.46,4.46,s,218.75,5.39,6,4,1,835.28,232.38,1,8,8,6,75,0.484,0.495,0,0,0,2,2,4,0,0,0,0,0,6,0,0
star_(outside),star,star,[stA:r*],65,4.3,4.3,s,1475.03,7.3,4,4,1,729.04,134.46,7,11,11,9,82,0.776,0.764,28.72,1,2,0,0,3,0,0,0,0,0,3,8,0
stick,stick,stick,[stIk],44,4.21,4.13,s,443.92,6.1,5,4,1,2417.52,441.31,5,9,8,4,50,0.481,0.46,30.74,1,4,3,0,3,0,0,0,0,0,3,2,1
stone,stone,stone,[st@Un],30,4.63,4.84,s,614.22,6.42,5,4,1,1571.6,401.31,8,11,9,1,11,0.185,0.181,94.04,3,8,2,0,2,1,0,0,0,4,7,0,2
store,store,store,[stO:r*],53,4.38,4.25,s,1052.02,6.96,5,4,1,2425.62,357.87,13,11,9,8,89,0.796,0.832,0,0,0,4,0,2,0,0,0,0,0,2,3,2
story,story,story,[stO:][rI],55,3.75,4.16,s,2870.63,7.96,5,5,2,1558.94,383.39,4,10,6,5,83,0.722,0.713,0,0,0,1,0,0,0,0,0,0,0,0,5,4
stove,stove,stove,[st@Uv],43,4.09,4.16,s,126.69,4.84,5,4,1,1392.43,366.63,6,11,10,4,40,0.429,0.462,797.76,13,29,1,0,3,0,0,0,0,1,4,5,1
strawberry,strawberry,strawberry,[strO:][b@][rI],30,4.74,4.67,s,174.41,5.16,10,8,3,115.36,NA,0,17,16,8,50,0.502,0.496,323.1,7,6,5,0,2,2,0,2,0,2,8,3,1
street,street,street,[stri:t],105,4.07,3.99,s,2146.74,7.67,6,5,1,1200.74,463.4,0,11,9,9,100,0.889,0.871,0,0,0,3,0,5,0,0,0,0,0,5,1,2
stroller,stroller,stroller,NA,42,4.86,4.86,s,10.66,2.37,8,7,2,750.52,134.84,1,10,10,3,30,0.308,0.303,159.14,5,11,6,0,3,0,0,0,0,0,3,1,0
sun,sun,sun,[sVn],47,4.86,4.96,s,920.63,6.83,3,3,1,352.83,NA,14,12,11,5,45,0.389,0.359,57.15,1,2,1,0,3,1,0,0,0,1,5,5,1
sweater,sweater,sweater,[swE][t@r*],30,4.38,4.46,s,189.8,5.25,7,6,2,1285.57,294.48,2,11,9,1,11,0.21,0.229,1030.64,19,53,2,0,3,1,0,0,0,1,5,2,2
swing,swing (object),swing (object),[swIN],44,5.26,5.26,s,120.29,4.79,5,4,1,2528.18,1058.94,6,10,10,4,40,0.344,0.305,141.28,5,11,3,1,3,0,0,0,0,0,4,3,0
table,table,table,[teI][b],30,5,5.03,t,1399.49,7.24,5,4,2,820,229.24,4,11,10,2,20,0.289,0.28,147.52,2,4,1,0,6,0,0,0,0,0,6,3,1
tape_(scotch),tape,tape,[teIp],30,3.51,3.51,t,908.67,6.81,4,3,1,639.81,48.13,10,11,11,7,64,0.643,0.659,99.16,2,4,2,0,2,2,0,0,0,1,5,4,0
teacher,teacher,teacher,[ti:][tS@r*],44,3.78,3.95,t,654.58,6.48,7,5,2,1722.92,629.82,1,9,7,7,100,0.929,0.93,0,0,0,0,0,0,0,0,0,0,0,0,7,2
